symbol,price,timestamp
solana,223.60,2024-11-12 13:57:21.894778
ethereum,3371.40,2024-11-12 13:57:23.094838
solana,223.61,2024-11-12 13:57:23.908853
bitcoin,88890.57,2024-11-12 13:57:25.523970
bitcoin,88890.58,2024-11-12 13:57:25.972550
usd-coin,0.999241,2024-11-12 13:57:25.972550
bitcoin,88890.49,2024-11-12 13:57:27.246214
bitcoin,88890.51,2024-11-12 13:57:28.844717
bitcoin,88890.55,2024-11-12 13:57:29.932646
ethereum,3371.44,2024-11-12 13:57:29.932646
ethereum,3371.43,2024-11-12 13:57:30.765923
bitcoin,88890.81,2024-11-12 13:57:31.251180
ethereum,3371.41,2024-11-12 13:57:31.251180
usd-coin,0.999230,2024-11-12 13:57:31.251180
binance-coin,653.28,2024-11-12 13:57:31.565663
ethereum,3371.40,2024-11-12 13:57:32.048479
ethereum,3371.41,2024-11-12 13:57:32.845176
binance-coin,653.27,2024-11-12 13:57:32.845176
ethereum,3371.42,2024-11-12 13:57:34.002946
ethereum,3371.44,2024-11-12 13:57:34.926150
solana,223.62,2024-11-12 13:57:34.926150
bitcoin,88890.82,2024-11-12 13:57:35.726018
bitcoin,88890.80,2024-11-12 13:57:36.048876
ethereum,3371.46,2024-11-12 13:57:36.048876
ethereum,3371.43,2024-11-12 13:57:37.259473
ethereum,3371.34,2024-11-12 13:57:37.664559
bitcoin,88887.86,2024-11-12 13:57:40.393545
ethereum,3371.23,2024-11-12 13:57:40.393545
binance-coin,653.24,2024-11-12 13:57:40.393545
solana,223.61,2024-11-12 13:57:40.393545
usd-coin,0.999216,2024-11-12 13:57:40.393545
ethereum,3371.25,2024-11-12 13:57:41.350951
ethereum,3371.30,2024-11-12 13:57:42.172323
bitcoin,88887.96,2024-11-12 13:57:43.085852
ethereum,3371.33,2024-11-12 13:57:43.085852
binance-coin,653.25,2024-11-12 13:57:43.085852
ethereum,3371.32,2024-11-12 13:57:43.774875
bitcoin,88888.06,2024-11-12 13:57:44.185051
ethereum,3371.34,2024-11-12 13:57:45.165208
ethereum,3371.33,2024-11-12 13:57:47.087629
bitcoin,88888.08,2024-11-12 13:57:47.959802
binance-coin,653.26,2024-11-12 13:57:47.959802
bitcoin,88888.09,2024-11-12 13:57:47.959802
ethereum,3371.30,2024-11-12 13:57:47.959802
bitcoin,88887.91,2024-11-12 13:57:49.165927
ethereum,3371.27,2024-11-12 13:57:49.165927
bitcoin,88887.93,2024-11-12 13:57:49.488000
bitcoin,88887.82,2024-11-12 13:57:50.580625
ethereum,3371.25,2024-11-12 13:57:50.580625
usd-coin,0.999217,2024-11-12 13:57:52.049167
bitcoin,88887.83,2024-11-12 13:57:52.324096
bitcoin,88888.21,2024-11-12 13:57:52.849419
ethereum,3371.30,2024-11-12 13:57:52.849419
binance-coin,653.25,2024-11-12 13:57:53.165865
binance-coin,652.95,2024-11-12 13:57:53.968895
bitcoin,88888.17,2024-11-12 13:57:54.446135
bitcoin,88888.19,2024-11-12 13:57:54.769034
bitcoin,88888.27,2024-11-12 13:57:55.165094
bitcoin,88888.43,2024-11-12 13:57:55.676516
bitcoin,88879.30,2024-11-12 13:57:56.046027
solana,223.60,2024-11-12 13:57:56.849089
bitcoin,88879.18,2024-11-12 13:57:57.325188
ethereum,3371.31,2024-11-12 13:57:57.325188
binance-coin,652.94,2024-11-12 13:57:57.325188
usd-coin,0.999192,2024-11-12 13:57:57.325188
ethereum,3371.30,2024-11-12 13:57:57.651727
ethereum,3371.29,2024-11-12 13:57:58.013714
bitcoin,88878.93,2024-11-12 13:58:00.143001
ethereum,3371.26,2024-11-12 13:58:00.143001
solana,223.59,2024-11-12 13:58:00.143001
bitcoin,88878.92,2024-11-12 13:58:00.961439
bitcoin,88875.38,2024-11-12 13:58:01.485712
ethereum,3371.25,2024-11-12 13:58:01.485712
binance-coin,652.92,2024-11-12 13:58:01.485712
solana,223.75,2024-11-12 13:58:01.485712
